epoch,val_loss_aditya,val_loss_jinyoon,val_loss_Kenya,val_loss_Peter,val_loss_sami,val_loss_total
1,0.18171035,0.17092729,0.265670323,0.272043597,0.155046642,1.045398194
2,0.118005112,0.131970804,0.189076738,0.174959775,0.092669883,0.706682314
3,0.086382587,0.096287727,0.146353043,0.124332225,0.065734956,0.519090536
4,0.061850549,0.076410889,0.114647137,0.092256278,0.055326673,0.40049153
5,0.055961973,0.067389781,0.086488571,0.070515643,0.041591371,0.321947333
6,0.041266075,0.054006135,0.072245942,0.053298199,0.040361349,0.261177707
7,0.039064832,0.047313397,0.064040592,0.042638494,0.024974681,0.218031989
8,0.030165997,0.041136612,0.051985333,0.034642155,0.029798411,0.187728503
9,0.02983171,0.037798989,0.041532232,0.028211718,0.027178467,0.164553113
10,0.027261423,0.032509685,0.037058672,0.025223932,0.021921715,0.143975422
11,0.02258778,0.029513421,0.034978202,0.020961926,0.020637537,0.128678867
12,0.020336682,0.026803815,0.030952903,0.019073859,0.017786853,0.11495411
13,0.021293059,0.026315952,0.025878469,0.016267762,0.015286743,0.105041986
14,0.017658946,0.026519945,0.024292941,0.013981913,0.016265435,0.098719176
15,0.016520508,0.020859559,0.021530189,0.01435609,0.014141051,0.087407402
16,0.01518384,0.02146061,0.022493182,0.010909157,0.012806441,0.082853231
17,0.015744505,0.019725609,0.017620774,0.010604366,0.013771886,0.077467138
18,0.01546701,0.018980936,0.018710774,0.008708652,0.01332979,0.075197162
19,0.01262477,0.015728159,0.01613566,0.009480529,0.01051244,0.064481557
20,0.013983696,0.017593443,0.015794527,0.006904618,0.011281309,0.065557596
test,0.064481557,0.01262477,0.015728159,0.01613566,0.009480529,0.01051244
